65,29/09/2025,staedtler-faserschreiber-duo,Staedtler Faserschreiber DUO,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens > Felt-Tip Pens,Mapped via google_taxonomy_map,info,4
66,29/09/2025,staedtler-faserschreiber-duo,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
66,29/09/2025,staedtler-faserschreiber-duo,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
67,29/09/2025,staedtler-noris-colour-12er,Staedtler Noris Colour 12er,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Drawing & Painting Supplies > Art Pencils,Mapped via google_taxonomy_map,info,4
68,29/09/2025,staedtler-noris-colour-12er,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
68,29/09/2025,staedtler-noris-colour-12er,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
70,29/09/2025,handarbeitskoffer-34-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
70,29/09/2025,handarbeitskoffer-34-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
71,29/09/2025,handarbeitskoffer-34-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
71,29/09/2025,handarbeitskoffer-34-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
72,29/09/2025,handarbeitskoffer-34-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
72,29/09/2025,handarbeitskoffer-34-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
73,29/09/2025,buntstift-jolly,Buntstifte Jolly,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Markers & Highlighters > Markers,Mapped via google_taxonomy_map,info,4
74,29/09/2025,buntstift-jolly,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
74,29/09/2025,buntstift-jolly,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
75,29/09/2025,bic-kugelschreiber-cristal,Bic Kugelschreiber Cristal,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens > Ballpoint Pens,Mapped via google_taxonomy_map,info,4
76,29/09/2025,aristo-zirkel-2-gelenke,Aristo Zirkel 2 Gelenke,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Drafting Tools & Supplies > Drafting Compasses,Mapped via google_taxonomy_map,info,4
77,29/09/2025,aristo-zirkel-2-gelenke,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
77,29/09/2025,aristo-zirkel-2-gelenke,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
